任务ID,任务类型,任务子类型,数量,等级,依赖任务,经验,任务描述,
taskid,type,subtype,num,level,depend,exp,desc,
1,100,1,1,1,,10,微博发布1个文字帖,
2,100,2,1,1,,10,微博发布1个图片帖,
3,100,3,1,2,,10,微博发布1个视频帖,
4,101,1,1,1,1,10,微博评论1次文字帖,
5,101,2,1,1,2,10,微博评论1次图片帖,
6,101,3,1,2,3,10,微博评论1次视频帖,
7,102,,1,2,1|2|3,10,微博帖子被1次评论,
8,103,,1,1,1&2,10,微博点赞1个帖子,
9,104,,1,2,1|2|3,10,微博帖子被点赞1次,
10,105,1,1,3,1|2|3,10,分享1次自己的微博帖子,
11,105,2,1,4,14,10,分享1次别人的微博帖子,
12,106,,1,2,1&2,10,收藏1个微博帖子,
13,107,,1,2,1&2&12,10,取消收藏1个微博帖子,
14,108,,1,2,,10,关注1个用户,
15,109,,1,2,14,10,被1个用户被关注,
16,201,,1,3,,10,加入1个社区,
17,202,,1,3,16,10,社区发1个帖,
18,203,,1,3,17,10,评论他人的社区贴1次,
19,204,,1,4,17,10,社区贴被评论1次,
20,205,,1,4,18,10,社区贴发的评论被点赞1次,
21,206,,1,4,18,10,社区贴发的评论被踩1次,
22,207,,1,3,16,10,社区贴被查看1次,
23,301,,1,3,,10,加1个好友，并同意,
24,302,,1,3,,10,被1个人申请好友,
25,401,,1,4,,10,修改个人主页背景图片,
26,402,,1,4,,10,修改个人头像,
27,403,,1,5,,10,意见反馈1次,
28,404,,1,4,,10,绑定账号,
29,405,,1,3,,10,用户名完善,
30,406,,1,3,,10,基本资料完善,
31,407,,1,5,,10,开启电话簿访问权限,
32,501,,1,4,,10,搜索1次帖子,
33,502,,1,4,,10,搜索1次话题,
34,503,,1,5,32&33,10,搜索1次用户,
35,504,,1,5,32&33,10,搜索1次社区,
36,506,,1,5,34&35,10,搜索1次俱乐部,
37,601,,1,4,16,10,加入n个社区聊天室,
